4,307699
8,614912
12,922110
16,1.22931e+06
20,1.5365e+06
24,1.85434e+06
28,2.17207e+06
32,2.46852e+06
36,2.80523e+06
40,3.08399e+06
44,3.47173e+06
48,3.83816e+06
52,4.30545e+06
56,4.67368e+06
60,5.01743e+06
