Tamaño,TiempoPromedio(s),AccesosIOPromedio
4,0.308310,2048
8,0.486401,4096
12,1.301778,6144
16,1.067139,8192
20,1.922403,10240
24,2.086467,12288
28,2.026457,14336
32,2.650258,16384
36,2.896474,18432
40,3.154705,20480
44,3.424928,22528
48,3.468898,24576
